"vaccine","age","sex","year","event_type","seriousness","count"
"COVID","18-29 years","female",2020,"ER","non-serious",225
"COVID","18-29 years","female",2020,"ER","serious",10
"COVID","18-29 years","female",2020,"hospitalized","serious",13
"COVID","18-29 years","female",2020,"life threatening","serious",4
"COVID","18-29 years","female",2020,"office visit","non-serious",156
"COVID","18-29 years","female",2020,"office visit","serious",2
"COVID","18-29 years","female",2020,"disability","serious",1
"COVID","18-29 years","female",2021,"death","serious",47
"COVID","18-29 years","female",2021,"ER","non-serious",5813
"COVID","18-29 years","female",2021,"ER","serious",999
"COVID","18-29 years","female",2021,"ER / office visit","non-serious",14
"COVID","18-29 years","female",2021,"hospitalized","serious",1329
"COVID","18-29 years","female",2021,"life threatening","serious",420
"COVID","18-29 years","female",2021,"office visit","non-serious",8883
"COVID","18-29 years","female",2021,"office visit","serious",806
"COVID","18-29 years","female",2021,"disability","serious",498
"COVID","18-29 years","female",2022,"death","serious",16
"COVID","18-29 years","female",2022,"ER","non-serious",882
"COVID","18-29 years","female",2022,"ER","serious",323
"COVID","18-29 years","female",2022,"hospitalized","serious",643
"COVID","18-29 years","female",2022,"life threatening","serious",108
"COVID","18-29 years","female",2022,"office visit","non-serious",1943
"COVID","18-29 years","female",2022,"office visit","serious",328
"COVID","18-29 years","female",2022,"disability","serious",239
"COVID","18-29 years","male",2020,"ER","non-serious",39
"COVID","18-29 years","male",2020,"ER","serious",4
"COVID","18-29 years","male",2020,"ER / office visit","non-serious",1
"COVID","18-29 years","male",2020,"hospitalized","serious",4
"COVID","18-29 years","male",2020,"life threatening","serious",1
"COVID","18-29 years","male",2020,"office visit","non-serious",23
"COVID","18-29 years","male",2020,"office visit","serious",1
"COVID","18-29 years","male",2021,"death","serious",76
"COVID","18-29 years","male",2021,"ER","non-serious",2747
"COVID","18-29 years","male",2021,"ER","serious",781
"COVID","18-29 years","male",2021,"ER / office visit","non-serious",5
"COVID","18-29 years","male",2021,"hospitalized","serious",1286
"COVID","18-29 years","male",2021,"life threatening","serious",334
"COVID","18-29 years","male",2021,"office visit","non-serious",3316
"COVID","18-29 years","male",2021,"office visit","serious",515
"COVID","18-29 years","male",2021,"disability","serious",292
"COVID","18-29 years","male",2022,"death","serious",27
"COVID","18-29 years","male",2022,"ER","non-serious",421
"COVID","18-29 years","male",2022,"ER","serious",240
"COVID","18-29 years","male",2022,"hospitalized","serious",400
"COVID","18-29 years","male",2022,"life threatening","serious",132
"COVID","18-29 years","male",2022,"office visit","non-serious",773
"COVID","18-29 years","male",2022,"office visit","serious",228
"COVID","18-29 years","male",2022,"disability","serious",160
"COVID","30-39 years","female",2020,"ER","non-serious",391
"COVID","30-39 years","female",2020,"ER","serious",16
"COVID","30-39 years","female",2020,"hospitalized","serious",14
"COVID","30-39 years","female",2020,"life threatening","serious",14
"COVID","30-39 years","female",2020,"office visit","non-serious",277
"COVID","30-39 years","female",2020,"office visit","serious",5
"COVID","30-39 years","female",2020,"disability","serious",1
"COVID","30-39 years","female",2021,"death","serious",78
"COVID","30-39 years","female",2021,"ER","non-serious",8000
"COVID","30-39 years","female",2021,"ER","serious",1730
"COVID","30-39 years","female",2021,"ER / office visit","non-serious",8
"COVID","30-39 years","female",2021,"ER / office visit","serious",1
"COVID","30-39 years","female",2021,"hospitalized","serious",2163
"COVID","30-39 years","female",2021,"life threatening","serious",787
"COVID","30-39 years","female",2021,"office visit","non-serious",16561
"COVID","30-39 years","female",2021,"office visit","serious",1557
"COVID","30-39 years","female",2021,"disability","serious",983
"COVID","30-39 years","female",2022,"death","serious",19
"COVID","30-39 years","female",2022,"ER","non-serious",1133
"COVID","30-39 years","female",2022,"ER","serious",558
"COVID","30-39 years","female",2022,"hospitalized","serious",917
"COVID","30-39 years","female",2022,"life threatening","serious",213
"COVID","30-39 years","female",2022,"office visit","non-serious",3321
"COVID","30-39 years","female",2022,"office visit","serious",672
"COVID","30-39 years","female",2022,"disability","serious",540
"COVID","30-39 years","male",2020,"ER","non-serious",58
"COVID","30-39 years","male",2020,"ER","serious",4
"COVID","30-39 years","male",2020,"hospitalized","serious",5
"COVID","30-39 years","male",2020,"life threatening","serious",1
"COVID","30-39 years","male",2020,"office visit","non-serious",55
"COVID","30-39 years","male",2020,"office visit","serious",1
"COVID","30-39 years","male",2020,"disability","serious",1
"COVID","30-39 years","male",2021,"death","serious",119
"COVID","30-39 years","male",2021,"ER","non-serious",2867
"COVID","30-39 years","male",2021,"ER","serious",955
"COVID","30-39 years","male",2021,"ER / office visit","non-serious",6
"COVID","30-39 years","male",2021,"hospitalized","serious",1320
"COVID","30-39 years","male",2021,"life threatening","serious",496
"COVID","30-39 years","male",2021,"office visit","non-serious",4932
"COVID","30-39 years","male",2021,"office visit","serious",748
"COVID","30-39 years","male",2021,"disability","serious",552
"COVID","30-39 years","male",2022,"death","serious",37
"COVID","30-39 years","male",2022,"ER","non-serious",454
"COVID","30-39 years","male",2022,"ER","serious",278
"COVID","30-39 years","male",2022,"hospitalized","serious",501
"COVID","30-39 years","male",2022,"life threatening","serious",129
"COVID","30-39 years","male",2022,"office visit","non-serious",1107
"COVID","30-39 years","male",2022,"office visit","serious",280
"COVID","30-39 years","male",2022,"disability","serious",267
"COVID","40-49 years","female",2020,"ER","non-serious",367
"COVID","40-49 years","female",2020,"ER","serious",26
"COVID","40-49 years","female",2020,"hospitalized","serious",26
"COVID","40-49 years","female",2020,"life threatening","serious",17
"COVID","40-49 years","female",2020,"office visit","non-serious",297
"COVID","40-49 years","female",2020,"office visit","serious",5
"COVID","40-49 years","female",2021,"death","serious",127
"COVID","40-49 years","female",2021,"ER","non-serious",7922
"COVID","40-49 years","female",2021,"ER","serious",1925
"COVID","40-49 years","female",2021,"ER / office visit","non-serious",3
"COVID","40-49 years","female",2021,"ER / office visit","serious",1
"COVID","40-49 years","female",2021,"hospitalized","serious",2443
"COVID","40-49 years","female",2021,"life threatening","serious",1017
"COVID","40-49 years","female",2021,"office visit","non-serious",17120
"COVID","40-49 years","female",2021,"office visit","serious",1759
"COVID","40-49 years","female",2021,"disability","serious",1300
"COVID","40-49 years","female",2022,"death","serious",55
"COVID","40-49 years","female",2022,"ER","non-serious",1076
"COVID","40-49 years","female",2022,"ER","serious",565
"COVID","40-49 years","female",2022,"hospitalized","serious",1059
"COVID","40-49 years","female",2022,"life threatening","serious",227
"COVID","40-49 years","female",2022,"office visit","non-serious",3652
"COVID","40-49 years","female",2022,"office visit","serious",720
"COVID","40-49 years","female",2022,"disability","serious",620
"COVID","40-49 years","male",2020,"ER","non-serious",64
"COVID","40-49 years","male",2020,"ER","serious",7
"COVID","40-49 years","male",2020,"hospitalized","serious",9
"COVID","40-49 years","male",2020,"life threatening","serious",6
"COVID","40-49 years","male",2020,"office visit","non-serious",54
"COVID","40-49 years","male",2020,"office visit","serious",3
"COVID","40-49 years","male",2020,"disability","serious",2
"COVID","40-49 years","male",2021,"death","serious",228
"COVID","40-49 years","male",2021,"ER","non-serious",2385
"COVID","40-49 years","male",2021,"ER","serious",1208
"COVID","40-49 years","male",2021,"ER / office visit","non-serious",4
"COVID","40-49 years","male",2021,"hospitalized","serious",1702
"COVID","40-49 years","male",2021,"life threatening","serious",658
"COVID","40-49 years","male",2021,"office visit","non-serious",5177
"COVID","40-49 years","male",2021,"office visit","serious",1051
"COVID","40-49 years","male",2021,"disability","serious",820
"COVID","40-49 years","male",2022,"death","serious",75
"COVID","40-49 years","male",2022,"ER","non-serious",384
"COVID","40-49 years","male",2022,"ER","serious",397
"COVID","40-49 years","male",2022,"hospitalized","serious",796
"COVID","40-49 years","male",2022,"life threatening","serious",188
"COVID","40-49 years","male",2022,"office visit","non-serious",1156
"COVID","40-49 years","male",2022,"office visit","serious",394
"COVID","40-49 years","male",2022,"disability","serious",349
"COVID","50-59 years","female",2020,"ER","non-serious",232
"COVID","50-59 years","female",2020,"ER","serious",12
"COVID","50-59 years","female",2020,"ER / office visit","non-serious",1
"COVID","50-59 years","female",2020,"hospitalized","serious",13
"COVID","50-59 years","female",2020,"life threatening","serious",7
"COVID","50-59 years","female",2020,"office visit","non-serious",207
"COVID","50-59 years","female",2020,"office visit","serious",1
"COVID","50-59 years","female",2020,"disability","serious",1
"COVID","50-59 years","female",2021,"death","serious",321
"COVID","50-59 years","female",2021,"ER","non-serious",6961
"COVID","50-59 years","female",2021,"ER","serious",2121
"COVID","50-59 years","female",2021,"ER / office visit","non-serious",9
"COVID","50-59 years","female",2021,"ER / office visit","serious",1
"COVID","50-59 years","female",2021,"hospitalized","serious",3290
"COVID","50-59 years","female",2021,"life threatening","serious",1083
"COVID","50-59 years","female",2021,"office visit","non-serious",16114
"COVID","50-59 years","female",2021,"office visit","serious",1847
"COVID","50-59 years","female",2021,"disability","serious",1393
"COVID","50-59 years","female",2022,"death","serious",166
"COVID","50-59 years","female",2022,"ER","non-serious",1194
"COVID","50-59 years","female",2022,"ER","serious",750
"COVID","50-59 years","female",2022,"ER / office visit","non-serious",2
"COVID","50-59 years","female",2022,"hospitalized","serious",1765
"COVID","50-59 years","female",2022,"life threatening","serious",305
"COVID","50-59 years","female",2022,"office visit","non-serious",4379
"COVID","50-59 years","female",2022,"office visit","serious",886
"COVID","50-59 years","female",2022,"disability","serious",782
"COVID","50-59 years","male",2020,"ER","non-serious",44
"COVID","50-59 years","male",2020,"ER","serious",5
"COVID","50-59 years","male",2020,"hospitalized","serious",7
"COVID","50-59 years","male",2020,"life threatening","serious",2
"COVID","50-59 years","male",2020,"office visit","non-serious",33
"COVID","50-59 years","male",2021,"death","serious",431
"COVID","50-59 years","male",2021,"ER","non-serious",2247
"COVID","50-59 years","male",2021,"ER","serious",1643
"COVID","50-59 years","male",2021,"ER / office visit","non-serious",3
"COVID","50-59 years","male",2021,"ER / office visit","serious",1
"COVID","50-59 years","male",2021,"hospitalized","serious",2847
"COVID","50-59 years","male",2021,"life threatening","serious",931
"COVID","50-59 years","male",2021,"office visit","non-serious",5524
"COVID","50-59 years","male",2021,"office visit","serious",1335
"COVID","50-59 years","male",2021,"disability","serious",1079
"COVID","50-59 years","male",2022,"death","serious",216
"COVID","50-59 years","male",2022,"ER","non-serious",460
"COVID","50-59 years","male",2022,"ER","serious",554
"COVID","50-59 years","male",2022,"hospitalized","serious",1608
"COVID","50-59 years","male",2022,"life threatening","serious",275
"COVID","50-59 years","male",2022,"office visit","non-serious",1694
"COVID","50-59 years","male",2022,"office visit","serious",483
"COVID","50-59 years","male",2022,"disability","serious",454
"COVID","60-64 years","female",2020,"ER","non-serious",82
"COVID","60-64 years","female",2020,"ER","serious",4
"COVID","60-64 years","female",2020,"hospitalized","serious",8
"COVID","60-64 years","female",2020,"life threatening","serious",3
"COVID","60-64 years","female",2020,"office visit","non-serious",62
"COVID","60-64 years","female",2021,"death","serious",292
"COVID","60-64 years","female",2021,"ER","non-serious",2728
"COVID","60-64 years","female",2021,"ER","serious",1099
"COVID","60-64 years","female",2021,"ER / office visit","non-serious",4
"COVID","60-64 years","female",2021,"hospitalized","serious",2050
"COVID","60-64 years","female",2021,"life threatening","serious",584
"COVID","60-64 years","female",2021,"office visit","non-serious",6903
"COVID","60-64 years","female",2021,"office visit","serious",912
"COVID","60-64 years","female",2021,"disability","serious",683
"COVID","60-64 years","female",2022,"death","serious",162
"COVID","60-64 years","female",2022,"ER","non-serious",558
"COVID","60-64 years","female",2022,"ER","serious",419
"COVID","60-64 years","female",2022,"ER / office visit","non-serious",2
"COVID","60-64 years","female",2022,"hospitalized","serious",1257
"COVID","60-64 years","female",2022,"life threatening","serious",150
"COVID","60-64 years","female",2022,"office visit","non-serious",2454
"COVID","60-64 years","female",2022,"office visit","serious",399
"COVID","60-64 years","female",2022,"disability","serious",333
"COVID","60-64 years","male",2020,"death","serious",2
"COVID","60-64 years","male",2020,"ER","non-serious",12
"COVID","60-64 years","male",2020,"ER","serious",3
"COVID","60-64 years","male",2020,"hospitalized","serious",5
"COVID","60-64 years","male",2020,"life threatening","serious",2
"COVID","60-64 years","male",2020,"office visit","non-serious",12
"COVID","60-64 years","male",2021,"death","serious",433
"COVID","60-64 years","male",2021,"ER","non-serious",1064
"COVID","60-64 years","male",2021,"ER","serious",996
"COVID","60-64 years","male",2021,"ER / office visit","non-serious",3
"COVID","60-64 years","male",2021,"hospitalized","serious",1997
"COVID","60-64 years","male",2021,"life threatening","serious",577
"COVID","60-64 years","male",2021,"office visit","non-serious",2768
"COVID","60-64 years","male",2021,"office visit","serious",721
"COVID","60-64 years","male",2021,"disability","serious",557
"COVID","60-64 years","male",2022,"death","serious",223
"COVID","60-64 years","male",2022,"ER","non-serious",230
"COVID","60-64 years","male",2022,"ER","serious",381
"COVID","60-64 years","male",2022,"hospitalized","serious",1297
"COVID","60-64 years","male",2022,"life threatening","serious",191
"COVID","60-64 years","male",2022,"office visit","non-serious",984
"COVID","60-64 years","male",2022,"office visit","serious",272
"COVID","60-64 years","male",2022,"disability","serious",241
"COVID","65-79 years","female",2020,"ER","non-serious",28
"COVID","65-79 years","female",2020,"ER","serious",3
"COVID","65-79 years","female",2020,"hospitalized","serious",3
"COVID","65-79 years","female",2020,"life threatening","serious",2
"COVID","65-79 years","female",2020,"office visit","non-serious",30
"COVID","65-79 years","female",2020,"office visit","serious",1
"COVID","65-79 years","female",2020,"disability","serious",1
"COVID","65-79 years","female",2021,"death","serious",1219
"COVID","65-79 years","female",2021,"ER","non-serious",5015
"COVID","65-79 years","female",2021,"ER","serious",3058
"COVID","65-79 years","female",2021,"ER / office visit","non-serious",3
"COVID","65-79 years","female",2021,"ER / office visit","serious",1
"COVID","65-79 years","female",2021,"hospitalized","serious",6661
"COVID","65-79 years","female",2021,"life threatening","serious",1357
"COVID","65-79 years","female",2021,"office visit","non-serious",13559
"COVID","65-79 years","female",2021,"office visit","serious",2028
"COVID","65-79 years","female",2021,"disability","serious",1382
"COVID","65-79 years","female",2022,"death","serious",865
"COVID","65-79 years","female",2022,"ER","non-serious",1245
"COVID","65-79 years","female",2022,"ER","serious",1267
"COVID","65-79 years","female",2022,"ER / office visit","non-serious",1
"COVID","65-79 years","female",2022,"hospitalized","serious",4979
"COVID","65-79 years","female",2022,"life threatening","serious",388
"COVID","65-79 years","female",2022,"office visit","non-serious",5216
"COVID","65-79 years","female",2022,"office visit","serious",748
"COVID","65-79 years","female",2022,"disability","serious",543
"COVID","65-79 years","male",2020,"death","serious",3
"COVID","65-79 years","male",2020,"ER","non-serious",16
"COVID","65-79 years","male",2020,"ER","serious",2
"COVID","65-79 years","male",2020,"hospitalized","serious",6
"COVID","65-79 years","male",2020,"life threatening","serious",1
